"","player_name","player_url","Season","Age","Squad","Country","Comp","Mins_Per_90","Tkl_Tackles","TklW_Tackles","Def 3rd_Tackles","Mid 3rd_Tackles","Att 3rd_Tackles","Tkl_Challenges","Att_Challenges","Tkl_percent_Challenges","Lost_Challenges","Blocks_Blocks","Sh_Blocks","Pass_Blocks","Int","Tkl+Int","Clr","Err"
"27","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2015-2016",28,"Barcelona","","Super Cup",1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2015-2016",28,"Barcelona","ESP","Supercopa de Espa<U+00F1>a",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2016-2017",29,"Barcelona","","1. Champions Lg",9,NA,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"30","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2016-2017",29,"Barcelona","ESP","Copa del Rey",7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2016-2017",29,"Barcelona","ESP","1. La Liga",31.4,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,NA,NA,NA
"32","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2016-2017",29,"Barcelona","ESP","Supercopa de Espa<U+00F1>a",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2017-2018",30,"Barcelona","","1. Champions Lg",8.7,9,7,2,5,2,0,7,0,7,4,0,4,3,12,0,0
"34","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2017-2018",30,"Barcelona","ESP","Copa del Rey",5.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2017-2018",30,"Barcelona","ESP","1. La Liga",33.3,17,8,0,11,6,2,18,11.1,16,11,1,10,7,24,0,0
"36","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2017-2018",30,"Barcelona","ESP","Supercopa de Espa<U+00F1>a",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2018-2019",31,"Barcelona","","1. Champions Lg",9.3,10,10,1,4,5,3,7,42.9,4,6,0,6,3,13,0,0
"38","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2018-2019",31,"Barcelona","ESP","Copa del Rey",4.3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"39","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2018-2019",31,"Barcelona","ESP","1. La Liga",30.1,12,7,5,3,4,1,17,5.9,16,10,0,10,3,15,1,0
"40","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2018-2019",31,"Barcelona","ESP","Supercopa de Espa<U+00F1>a",1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"41","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2019-2020",32,"Barcelona","","1. Champions Lg",7.4,2,1,0,1,1,0,5,0,5,3,0,3,2,4,0,0
"42","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2019-2020",32,"Barcelona","ESP","Copa del Rey",2,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"43","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2019-2020",32,"Barcelona","ESP","1. La Liga",32,21,10,4,7,10,3,21,14.3,18,9,0,9,7,28,1,0
"44","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2019-2020",32,"Barcelona","ESP","Supercopa de Espa<U+00F1>a",1,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"45","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2020-2021",33,"Barcelona","","1. Champions Lg",6,5,2,0,2,3,2,7,28.6,5,2,0,2,2,7,0,0
"46","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2020-2021",33,"Barcelona","ESP","Copa del Rey",5.7,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,NA,NA
"47","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2020-2021",33,"Barcelona","ESP","1. La Liga",33.6,18,10,3,9,6,6,17,35.3,11,12,0,12,6,24,0,2
"48","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2020-2021",33,"Barcelona","ESP","Supercopa de Espa<U+00F1>a",1.3,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA
"49","Lionel Messi","https://fbref.com/en/players/d70ce98e/Lionel-Messi","2021-2022",34,"Paris S-G","","1. Champions Lg",7,3,0,3,0,0,0,8,0,8,4,0,4,0,3,0,0
